Discharge Time (s),Charging time (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),,RUL
2214.66,9122.81,4.045,3.381,5048.343,6028.34,,1068
2211.25,9074.06,4.044,3.381,5041.25,6021.25,,1067
2210.59,9118.03,4.045,3.381,5034.375,6014.38,,1066
2208.56,9098.56,4.045,3.382,5030.734,6007.22,,1065
2206.88,9091.78,4.045,3.382,5027.281,6000.25,,1064
2203.19,9083.59,4.045,3.383,5020.375,5993.38,,1063
2202.53,9089.47,4.045,3.384,5013.375,5986.38,,1062
2200.34,9089.41,4.044,3.386,5006.344,5979.34,,1061
2198.19,9067.53,4.044,3.385,4999.219,5972.22,,1060
2197,9074.62,4.044,3.387,4992.25,5965.25,,1059
2195.94,9079.66,4.044,3.387,4988.8595,5965.38,,1058
2194.12,9049.97,4.044,3.387,4985.344,5958.34,,1057
2192.56,9049.44,4.044,3.388,4978.281,5958.28,,1056
2190.75,9029.53,4.044,3.387,4978.313,5951.31,,1055
2189.5,9049.91,4.044,3.388,4971.375,5944.38,,1054
2188.19,9059.31,4.044,3.389,4964.313,5937.31,,1053
2186.25,9027.75,4.043,3.391,4960.8435,5937.38,,1052
2185.56,9015.12,4.043,3.39,4957.375,5930.38,,1051
2185.12,9051.06,4.043,3.39,4957.375,5930.38,,1050
2179.06,9069.94,4.022,3.625,4921.375,5894,,1049
206007.26,84474.65,4.271,3.166,72809.982,84474.65,,1048
2182.56,9459.46,4.004,3.381,5213.92,6200.32,,1047
2182.62,9114.85,4.007,3.395,4969.152,5912.35,,1046
2180.13,9093.92,4.007,3.394,4969.1784,5912.35,,1045
2177.34,9058.18,4.008,3.394,4961.92,5912.32,,1044
2175.17,9064.41,4.007,3.395,4954.783,5912.38,,1043
2173.44,9080.74,4.008,3.398,4947.551,5912.35,,1042
2170.56,9060.73,4.008,3.397,4940.32,5912.32,,1041
2168.26,9048.26,4.008,3.399,4933.121,5876.32,,1040
2165.54,9027.49,4.008,3.399,4928.32,5876.32,,1039
2163.77,9027.52,4.008,3.401,4918.791,5876.39,,1038
2162.18,9008.32,4.008,3.401,4916.321,5876.32,,1037
2160.17,9000.64,4.008,3.401,4911.551,5876.35,,1036
2158.66,9023.48,4.008,3.401,4910.359,5876.36,,1035
2155.94,8968.09,4.007,3.402,4904.328,5876.33,,1034
2154.69,8974.28,4.008,3.402,4897.159,5840.36,,1033
2152.42,8965.95,4.008,3.403,4889.913,5840.31,,1032
2151.42,8962.08,4.008,3.405,4882.728,5840.33,,1031
2149.92,8958.81,4.008,3.403,4880.343,5840.34,,1030
2148.48,8930.36,4.008,3.404,4875.513,5840.31,,1029
2147.39,8962.02,4.008,3.404,4868.328,5840.33,,1028
2145.83,8942.92,4.008,3.405,4868.266,5840.27,,1027
2144.58,8963.16,4.008,3.404,4862.312,5804.31,,1026
2142.5,8947.59,4.008,3.405,4856.328,5804.33,,1025
2147.06,9007.12,4.018,3.653,4816.312,5788.97,,1024
2145.16,9026.06,4.003,3.731,4808.344,5768.34,,1023
2147.28,8977.31,4.006,3.41,4853.944,5804.34,,1022
2145.28,8974.09,4.007,3.406,4861.144,5804.34,,1021
2143.12,8977.41,4.008,3.407,4853.943,5804.34,,1020
2140.53,8960.47,4.008,3.407,4846.744,5804.34,,1019
2138.88,8950.19,4.008,3.407,4839.513,5804.31,,1018
2137.31,8971.72,4.007,3.407,4838.375,5804.38,,1017
2135.19,8927.5,4.007,3.408,4832.375,5804.38,,1016
2133.34,8944.38,4.007,3.408,4825.144,5768.34,,1015
2130.69,8896.53,4.007,3.408,4817.944,5768.34,,1014
2128.56,8901.75,4.007,3.409,4810.744,5768.34,,1013
2126.97,8899.03,4.006,3.41,4803.513,5768.31,,1012
2125.78,8913.22,4.006,3.411,4796.313,5768.31,,1011
2124.41,8916.5,4.006,3.411,4796.375,5768.38,,1010
2122.03,8875.09,4.005,3.411,4789.1502,5732.34,,1009
2112,8892.59,4.005,3.411,4781.943,5732.34,,1008
2118.81,8892.44,4.006,3.413,4774.744,5732.34,,1007
2117.62,8905.44,4.006,3.412,4767.513,5732.31,,1006
2115.12,8854.25,4.005,3.414,4766.375,5732.38,,1005
2114.31,8898.38,4.006,3.414,4760.375,5732.38,,1004
2112.31,8870.56,4.005,3.414,4753.175,5696.38,,1003
2111.19,8860.06,4.005,3.414,4748.375,5696.38,,1002
2100.94,8766.5,3.991,3.415,4745.975,6147.88,,1001
2109.81,8884.06,4.014,3.674,4690.25,5656,,1000
2124.61,9425.95,3.998,3.397,5066.256,6056.26,,998
2124.16,8951.84,3.999,3.415,4778.321,5732.32,,997
2121.79,8950.82,4,3.415,4781.824,5732.22,,996
2119.97,8959.65,4.001,3.417,4772.352,5732.35,,995
2117.7,8965.47,4.001,3.417,4767.552,5732.35,,994
2114.24,8932.74,4.001,3.419,4760.352,5696.35,,993
2111.11,8918.18,4.001,3.419,4753.152,5696.35,,992
2107.84,8919.01,4.001,3.421,4742.32,5696.32,,991
2105.28,8897.66,4.001,3.421,4731.52,5696.32,,990
2102.91,8913.22,4.001,3.422,4724.352,5660.35,,989
2100.16,8882.59,4.001,3.423,4717.121,5660.32,,988
2098.37,8886.08,4.001,3.424,4709.92,5660.32,,987
2095.59,8857.02,4.001,3.425,4702.743,5660.34,,986
2093.19,8846.05,4.001,3.424,4695.59,5660.39,,985
2091.2,8845.25,4.001,3.425,4688.328,5624.33,,984
2089,8839.94,4.001,3.426,4681.05,5624.25,,983
2086.91,8834.91,4.001,3.427,4673.959,5624.36,,982
2084.55,8807.3,4.001,3.426,4666.713,5624.31,,981
2083.19,8812.31,4.001,3.427,4659.512,5624.31,,980
2081.8,8816.34,4.001,3.428,4652.312,5588.31,,979
2079.97,8807.45,4.001,3.427,4652.281,5588.28,,978
2078.72,8820.2,4.001,3.428,4645.191,5588.39,,977
2076.91,8797.52,4.001,3.427,4640.359,5588.36,,976
2078.66,8897.53,4.01,3.68,4592.375,5558,,975
2077.22,8858.62,3.996,3.76,4574.344,5516.34,,974
2080.69,8807.22,3.999,3.433,4634.344,5588.34,,973
2079.28,8828.72,4,3.429,4645.144,5588.34,,972
2076.56,8812.88,4,3.429,4637.913,5588.31,,971
2074.47,8809.44,4,3.429,4630.743,5588.34,,970
2071.62,8778,4,3.431,4623.606,5588.41,,969
2070.34,8808.19,3.999,3.43,4616.312,5552.31,,968
2069.03,8804.88,4,3.43,4609.144,5552.34,,967
2067.62,8805.75,4,3.431,4604.313,5552.31,,966
2065.16,8784.09,3.999,3.43,4601.913,5552.31,,965
2063.19,8806.03,3.999,3.431,4592.312,5552.31,,964
2060.94,8776.62,3.999,3.432,4586.344,5552.34,,963
2058.47,8743.38,3.999,3.433,4574.312,5516.31,,962
2056.81,8739.5,3.998,3.433,4573.144,5516.34,,961
2056.25,8781.31,3.999,3.433,4565.913,5516.31,,960
2054.41,8763.88,3.998,3.434,4562.375,5516.38,,959
2052.81,8734.62,3.998,3.434,4558.743,5516.34,,958
2051.94,8772.62,3.998,3.435,4551.512,5516.31,,957
2050.28,8748.69,3.998,3.435,4550.406,5516.41,,956
2049.09,8772.62,3.998,3.435,4544.25,5480.25,,955
2047.5,8766.19,3.998,3.435,4544.375,5480.38,,954
2045.5,8747.12,3.997,3.437,4537.113,5480.31,,953
2043.88,8719.94,3.998,3.436,4532.313,5480.31,,952
2043.88,8809.94,4.007,3.691,4487.312,5453.06,,951
2063.62,8837.34,3.992,3.778,4422.048,5408.45,,950
2063.94,8844.64,3.994,3.437,4580.321,5516.32,,949
2060.42,8830.3,3.994,3.437,4586.383,5516.38,,948
2056.9,8792.38,3.995,3.437,4574.383,5516.38,,947
2054.37,8818.78,3.995,3.437,4565.916,5516.32,,946
2051.17,8789.41,3.995,3.438,4556.339333,5516.32,,945
2047.81,8762.31,3.995,3.438,4550.352,5480.35,,944
2045.38,8773.66,3.994,3.44,4537.152,5480.35,,943
2042.37,8741.28,3.994,3.441,4529.959,5480.36,,942
2039.71,8740.1,3.995,3.441,4522.721,5480.32,,941
2036.9,8750.37,3.994,3.442,4514.32,5444.32,,940
2035.27,8747.84,3.995,3.442,4508.352,5444.35,,939
2033.47,8731.49,3.994,3.443,4501.121,5444.32,,938
2032,8720.34,3.994,3.443,4493.9722,5444.34,,937
2030.14,8684.33,3.995,3.443,4486.728,5444.33,,936
2028,8706.36,3.995,3.444,4484.375,5408.38,,935
2026.05,8705.12,3.994,3.444,4478.25,5408.25,,934
2024.38,8708.16,3.994,3.444,4472.312,5408.31,,933
2022.75,8713.08,3.994,3.445,4460.344,5408.34,,932
2020.77,8698.22,3.994,3.445,4454.328,5408.33,,931
2020.39,8709.16,3.995,3.445,4450.744,5408.34,,930
2018.94,8701.61,3.994,3.445,4448.36,5408.36,,929
2018.08,8710.62,3.994,3.446,4443.559,5372.36,,928
2017.06,8766.66,4.003,3.697,4389.344,5355,,927
2016.22,8762.41,3.989,3.773,4370.343,5336.34,,926
2021.81,8703.72,3.993,3.451,4436.344,5372.34,,925
2020.78,8719.75,3.994,3.447,4454.375,5408.38,,924
2018.25,8714.94,3.993,3.446,4448.375,5372.38,,923
2016.12,8699.53,3.993,3.446,4442.344,5372.34,,922
2014.19,8691.94,3.993,3.447,4436.343,5372.34,,921
2012.34,8698.09,3.993,3.448,4429.175,5372.38,,920
2010.22,8691.31,3.993,3.448,4421.943,5372.34,,919
2008.03,8680.53,3.993,3.448,4414.775,5372.38,,918
2006.38,8661.19,3.993,3.449,4412.312,5336.31,,917
2004.31,8664.91,3.993,3.449,4406.375,5336.38,,916
2003.25,8675.59,3.992,3.449,4400.375,5336.38,,915
2001.22,8663.38,3.992,3.45,4393.144,5336.34,,914
1999.81,8671.97,3.991,3.451,4388.312,5336.31,,913
1998.75,8668.19,3.992,3.451,4382.328,5336.34,,912
1997.06,8680.31,3.992,3.451,4378.713,5336.31,,911
1996,8657.47,3.992,3.451,4371.419,5300.22,,910
1994.91,8638.31,3.992,3.451,4370.313,5300.31,,909
1993.31,8636.97,3.991,3.451,4364.344,5300.34,,908
1992.16,8640.56,3.991,3.451,4364.375,5300.38,,907
1990.62,8640.44,3.991,3.451,4357.082,5300.28,,906
1989.94,8681.19,3.991,3.453,4349.913,5300.31,,905
1987.56,8610,3.991,3.453,4346.3435,5300.31,,904
1985.56,8737.12,3.999,3.702,4298.375,5257.06,,903
200892.99,80526.56,4.269,3.279,68880.004,80526.56,,902
2010.88,9386.14,3.983,3.434,4796.352,5804.35,,901
2014.4,8762.21,3.987,3.458,4412.479,5336.48,,900
2012.29,8765.15,3.987,3.456,4421.921,5372.32,,899
2009.31,8738.72,3.987,3.458,4414.752,5336.35,,898
2006.66,8725.21,3.987,3.458,4406.321,5336.32,,897
2003.97,8736.58,3.988,3.458,4400.351,5336.35,,896
2000.64,8712.19,3.988,3.458,4393.151,5336.35,,895
1998.11,8707.16,3.988,3.459,4382.382,5300.38,,894
1995.24,8718.31,3.987,3.46,4376.352,5300.35,,893
1992.42,8691.45,3.987,3.46,4364.351,5300.35,,892
1989.82,8684.06,3.987,3.46,4357.05,5300.25,,891
1986.75,8650.37,3.987,3.461,4349.951,5300.35,,890
1985.02,8667.87,3.987,3.461,4340.383,5264.38,,889
1982.75,8624.83,3.988,3.461,4334.344,5264.34,,888
1981.09,8654.41,3.988,3.461,4328.329,5264.33,,887
1978.81,8622.47,3.987,3.462,4321.128,5264.36,,886
1976.89,8656.77,3.987,3.461,4313.959,5264.36,,885
1974.08,8620.47,3.987,3.462,4306.713,5228.31,,884
1972.78,8642.33,3.987,3.462,4299.512,5228.31,,883
1971.36,8640.55,3.987,3.482,4292.344,5228.34,,882
1969.59,8621.08,3.987,3.463,4286.344,5228.34,,881
1968.67,8648.67,3.987,3.463,4280.344,5228.34,,880
1966.28,8596.86,3.987,3.463,4277.943,5228.34,,879
1962.97,8750,3.994,3.702,4214.281,5172.98,,878
1962.94,8671.41,3.981,3.781,4184.344,5120.34,,877
1969.38,8630.66,3.986,3.469,4263.512,5192.31,,876
1968.06,8619.94,3.986,3.464,4280.375,5228.38,,875
1966.09,8622.12,3.986,3.464,4277.9254,5228.31,,874
1963.03,8609.84,3.986,3.464,4270.775,5192.38,,873
1961.22,8647.53,3.986,3.464,4262.312,5192.31,,872
1958.5,8616.53,3.985,3.465,4256.406,5192.41,,871
1956.41,8615.66,3.985,3.466,4244.344,5192.34,,870
1955.03,8619.97,3.986,3.466,4238.343,5156.34,,869
1953.62,8601.12,3.986,3.465,4232.313,5156.31,,868
1951.09,8593.88,3.986,3.466,4227.513,5156.31,,867
1950.19,8615.75,3.985,3.466,4220.313,5156.31,,866
1948.62,8600.94,3.985,3.466,4220.344,5156.34,,865
1946.91,8576.12,3.985,3.466,4213.175,5156.38,,864
1945.41,8613.12,3.985,3.467,4208.375,5156.38,,863
1943.84,8592.59,3.985,3.467,4198.712,5120.31,,862
1942.44,8568.91,3.984,3.468,4196.313,5120.31,,861
1941.44,8556.66,3.984,3.468,4190.282,5120.28,,860
1940.31,8569.16,3.984,3.467,4184.313,5120.31,,859
1938.59,8534.22,3.984,3.467,4184.25,5120.25,,858
1937.28,8578.84,3.984,3.468,4177.206,5120.41,,857
1935.62,8583.72,3.983,3.468,4169.944,5120.34,,856
1932,8580.88,3.983,3.47,4166.375,5084.38,,855
1928.62,8671.06,3.991,3.709,4102.375,5061,,854
1936.42,8612.35,3.977,3.787,4061.952,5012.35,,853
1936.8,8606.98,3.979,3.472,4169.856,5084.26,,852
1939.39,8613.47,3.982,3.471,4169.918,5084.32,,851
1937.95,8611.84,3.982,3.469,4177.054,5120.25,,850
1934.85,8576.74,3.982,3.469,4172.32,5084.32,,849
1934.24,8597.22,3.982,3.471,4166.227,5084.23,,848
1932,8594.79,3.982,3.47,4162.72,5084.32,,847
1930.66,8607.04,3.981,3.47,4155.551,5084.35,,846
1927.2,8560.48,3.98,3.471,4148.351,5084.35,,845
1926.2,8581.86,3.981,3.471,4141.151,5084.35,,844
1923.91,8543.45,3.98,3.473,4136.25,5048.25,,843
1922.37,8566.4,3.98,3.471,4133.889,5048.29,,842
1921.02,8548.57,3.98,3.471,4124.352,5048.35,,841
1919.56,8567.36,3.98,3.472,4119.544,5048.34,,840
1918.12,8553.19,3.98,3.473,4118.36,5048.36,,839
1916.39,8557.92,3.98,3.473,4112.36,5048.36,,838
1914.77,8537.67,3.979,3.473,4106.235,5048.23,,837
1913.31,8547.91,3.98,3.474,4105.113,5012.31,,836
1912,8552.03,3.979,3.473,4097.944,5012.34,,835
1910.05,8519.27,3.979,3.474,4090.744,5012.34,,834
1908.97,8513.31,3.979,3.475,4088.343,5012.34,,833
1908.06,8529.51,3.979,3.475,4085.7,5014.5,,832
1906.72,8489.94,3.979,3.475,4082.344,5012.34,,831
1904,8630.66,3.987,3.712,4011.203,4970.02,,830
1907.16,8589.75,3.976,3.789,3982.712,4940.31,,829
1908.06,8566,3.978,3.48,4076.312,5012.31,,828
1908.34,8534.06,3.978,3.478,4076.343,5012.34,,827
1908.62,8532.47,3.979,3.477,4082.375,5012.38,,826
1907.03,8545.47,3.979,3.476,4076.313,5012.31,,825
1903.66,8523.25,3.979,3.476,4070.344,5012.34,,824
1900.97,8496.94,3.978,3.478,4061.912,4976.31,,823
1900.5,8533.19,3.979,3.478,4054.618,4976.22,,822
1898.62,8546.41,3.979,3.479,4052.375,4976.38,,821
1896.72,8509.81,3.979,3.479,4046.312,4976.31,,820
1895.94,8536.88,3.978,3.479,4040.375,4976.38,,819
1894.53,8510.03,3.979,3.479,4034.375,4976.38,,818
1893.53,8541.72,3.979,3.479,4033.019,4940.22,,817
1890.94,8508.56,3.978,3.478,4025.975,4940.38,,816
1889.97,8522.81,3.978,3.48,4018.713,4940.31,,815
1888.47,8492.47,3.978,3.48,4016.343,4940.34,,814
1886.81,8492.09,3.978,3.48,4011.575,4940.38,,813
1885.31,8464.12,3.977,3.48,4010.375,4940.38,,812
1885.44,8518.72,3.978,3.48,4004.375,4940.38,,811
1883.34,8517.88,3.977,3.48,3998.344,4940.34,,810
1881.53,8495.53,3.977,3.481,3992.344,4904.34,,809
1879.31,8457.62,3.977,3.482,3989.975,4904.38,,808
1877.69,8484.19,3.977,3.482,3982.712,4904.31,,807
1873.94,8602.12,3.984,3.714,3906.312,4865,,806
198748.44,78255.55,4.266,3.29,66689.981,78255.55,,805
1912.74,9509.6,3.973,3.474,4529.92,5552.32,,804
1919.26,8624.83,3.977,3.486,4106.352,5012.35,,803
1918.98,8596.48,3.977,3.484,4124.32,5048.32,,802
1916.86,8564.38,3.978,3.484,4124.321,5048.32,,801
1915.1,8580.9,3.978,3.485,4118.351,5048.35,,800
1911.9,8540.1,3.978,3.485,4112.32,5048.32,,799
1909.73,8550.15,3.978,3.485,4105.023,5012.22,,798
1906.81,8512.1,3.978,3.485,4097.92,5012.32,,797
1903.68,8521.09,3.978,3.485,4088.321,5012.32,,796
1913.92,8533.6,3.981,3.486,4076.352,5012.35,,795
1899.74,8526.72,3.979,3.48,4112.313,5012.31,,794
1895.55,8489.34,3.978,3.486,4064.32,4976.32,,793
1892.89,8481.77,3.978,3.486,4052.321,4976.31,,792
1890.51,8482.88,3.978,3.487,4040.344,4976.34,,791
1887.95,8462.11,3.977,3.486,4034.312,4940.31,,790
1884,8482.75,3.978,3.487,4025.944,4940.34,,789
1885.31,8510.02,3.978,3.487,4018.744,4940.34,,788
1883.25,8505.31,3.978,3.488,4011.513,4940.31,,787
1880.84,8481.28,3.978,3.487,4004.312,4940.31,,786
1879.36,8487.75,3.978,3.488,3998.321167,4904.28,,785
1877.01,8447.61,3.977,3.487,3992.344,4904.34,,784
1875.33,8475.12,3.977,3.488,3986.375,4904.38,,783
1872.2,8480.42,3.976,3.488,3980.36,4904.36,,782
1864.94,8606.99,3.982,3.711,3892.344,4844,,781
1868.56,8546.41,3.971,3.791,3860.375,4796.38,,780
1874.72,8496.25,3.975,3.493,3956.344,4868.34,,779
1873.47,8478.94,3.976,3.489,3975.513,4904.31,,778
1870.91,8453.25,3.976,3.489,3974.219,4904.22,,777
1868.25,8495.88,3.976,3.488,3962.218,4868.22,,776
1864.75,8464,3.975,3.49,3956.375,4868.38,,775
1862.91,8461.66,3.976,3.49,3944.313,4868.31,,774
1860.75,8446.72,3.976,3.491,3938.406,4868.41,,773
1859.22,8451,3.976,3.49,3932.343,4832.34,,772
1857.72,8439.19,3.975,3.491,3925.175,4832.38,,771
1855.88,8440.94,3.976,3.49,3920.344,4832.34,,770
1854.25,8412.03,3.975,3.491,3917.913,4832.31,,769
1852.38,8413.03,3.976,3.491,3908.375,4832.38,,768
1850.19,8395.34,3.975,3.491,3902.375,4832.38,,767
1849.16,8419.62,3.975,3.492,3896.25,4796.25,,766
1845.72,8397.84,3.975,3.492,3889.113,4796.31,,765
1845.12,8430.84,3.975,3.493,3878.344,4796.34,,764
1843.44,8410.62,3.974,3.492,3872.344,4796.34,,763
1842.16,8398.16,3.974,3.492,3867.512,4796.31,,762
1841.44,8424.72,3.974,3.494,3866.219,4796.22,,761
1839.44,8393.69,3.974,3.492,3860.313,4796.31,,760
1837.59,8408.03,3.974,3.493,3854.344,4760.34,,759
1833.31,8409,3.973,3.493,3848.313,4760.31,,758
1824.88,8528.44,3.978,3.712,3759.438,4711,,757
1836.96,8487.26,3.966,3.799,3687.392,4652.19,,756
1840.29,8420,3.969,3.498,3860.352,4760.35,,755
1839.71,8429.73,3.97,3.496,3872.352,4796.35,,754
1836.03,8389.41,3.97,3.495,3866.353,4760.35,,753
1833.57,8388.13,3.97,3.496,3854.352,4760.35,,752
1831.29,8370.62,3.97,3.497,3845.951,4760.35,,751
1829.09,8359.2,3.97,3.497,3842.387,4760.39,,750
1828.03,8381.18,3.97,3.497,3831.583,4760.38,,749
1825.73,8389.31,3.97,3.497,3824.258,4724.26,,748
1823.49,8383.59,3.97,3.498,3824.195,4724.2,,747
1822.09,8379.93,3.97,3.498,3812.383,4724.38,,746
1820.61,8393.53,3.97,3.498,3809.788,4724.19,,745
168,8355.43,3.97,3.499,3806.508,4724.51,,744
1799.55,5742.11,3.968,3.983,1112.25,2024.25,,727
1796.76,8320.41,3.967,3.503,3728.312,4652.34,,726
1794.86,8330.28,3.967,3.502,3722.333333,4616.33,,725
1793.03,8341.83,3.967,3.503,3716.359,4616.36,,724
1791.58,8352.58,3.967,3.503,3709.222,4616.42,,723
1789.64,8351.62,3.967,3.504,3704.359,4616.36,,722
1787.78,8339.66,3.967,3.504,3694.791,4616.39,,721
1785.31,8285.64,3.967,3.505,3687.559,4580.36,,720
1784.06,8329.5,3.967,3.506,3680.344,4580.34,,719
1782.72,8340.91,3.967,3.505,3680.328,4580.33,,718
1781.61,8350.89,3.967,3.506,3673.16,4580.36,,717
1779.66,8300.17,3.967,3.506,3668.234,4580.23,,716
1778.47,8287.17,3.967,3.505,3662.312,4580.31,,715
1776.78,8308.5,3.966,3.506,3658.712,4580.31,,714
1775.88,8278.44,3.966,3.507,3651.512,4580.31,,713
1774.22,8277.81,3.966,3.506,3650.375,4544.38,,712
1771.25,8279.94,3.965,3.507,3644.312,4544.31,,711
1761.69,8451.81,3.968,3.724,3542.406,4494,,710
197016.9,76089.12,4.262,3.297,64619.998,76089.12,,709
1792.48,9707.74,3.955,3.481,4270.751,5300.35,,708
1799.46,8461.89,3.96,3.521,3724.561,4618.56,,707
1800.26,8404.42,3.96,3.518,3744.993,4652.19,,706
1799.68,8410.79,3.961,3.517,3745.121,4652.32,,705
1797.15,8358.88,3.961,3.518,3740.352,4652.35,,704
1795.14,8360.35,3.962,3.517,3737.822,4652.22,,703
1793.12,8377.02,3.961,3.516,3728.285,4616.29,,702
1790.88,8378.31,3.961,3.517,3716.352,4616.35,,701
1788.29,8346.41,3.962,3.517,3710.289,4616.29,,700
1786.27,8371.49,3.962,3.517,3701.92,4616.32,,699
1782.91,8339.84,3.962,3.518,3692.352,4580.35,,698
1779.75,8345.21,3.961,3.517,3686.352,4580.35,,697
1777,8309.89,3.961,3.517,3674.383,4580.38,,696
1774.34,8342.41,3.961,3.516,3665.96,4580.36,,695
1771.66,8301.16,3.961,3.517,3656.328,4544.33,,694
1769.25,8317.92,3.96,3.517,3644.329,4544.33,,693
1766.23,8301.03,3.961,3.517,3637.019,4544.22,,692
1764.42,8331.61,3.96,3.517,3626.343,4544.34,,691
1761.23,8298.66,3.96,3.518,3615.419,4508.22,,690
1759.58,8313.5,3.959,3.518,3608.344,4508.34,,689
1756.42,8266.09,3.959,3.519,3602.328,4508.33,,688
1753.83,8258.47,3.959,3.518,3593.959,4508.36,,687
1751.08,8301.95,3.959,3.518,3586.744,4472.34,,686
1737.91,8468.41,3.961,3.726,3465.375,4416.99,,685
1746.22,8393.12,3.953,3.809,3428.281,4364.28,,684
1750.38,8301.91,3.958,3.523,3565.144,4472.34,,683
1749.59,8279.5,3.959,3.521,3579.544,4472.34,,682
1747.2,8197.41,3.958,3.524,3536.319,4436.32,,679
1746.37,8239.94,3.959,3.52,3566.319,4472.32,,678
1745.12,8231.58,3.959,3.519,3565.12,4472.32,,677
1742.3,8252.35,3.959,3.519,3557.952,4472.35,,676
1740.35,8252.96,3.959,3.52,3548.351,4436.35,,675
1738.17,8265.86,3.959,3.519,3536.32,4436.32,,674
1734.18,8199.75,3.959,3.519,3529.155,4436.35,,673
1731.94,8210.62,3.958,3.52,3518.321,4436.32,,672
1729.31,8228.06,3.958,3.521,3512.352,4400.35,,671
1727.62,8218.98,3.958,3.521,3500.352,4400.32,,670
1725.88,8210.88,3.959,3.521,3500.352,4400.35,,669
1724.87,8241.89,3.959,3.521,3493.152,4400.35,,668
1722.26,8224.22,3.958,3.522,3488.313,4400.31,,667
1720.16,8208.67,3.958,3.522,3482.344,4364.34,,666
1718.34,8215.94,3.957,3.522,3471.543,4364.34,,665
1716.73,8200.77,3.958,3.523,3470.359,4364.36,,664
1714.41,8205.06,3.957,3.522,3464.359,4364.36,,663
1711.11,8187.42,3.957,3.523,3452.328,4364.33,,662
1709.41,8212.55,3.957,3.523,3440.391,4328.39,,661
1706.3,8197.09,3.957,3.524,3434.218,4328.22,,660
1693.76,8380.2,3.958,3.729,3318.375,4270.02,,659
1725.02,8557.54,3.949,3.829,3154.848,4148.45,,658
1727.49,8314.59,3.953,3.527,3506.384,4400.38,,657
1725.63,8290.72,3.954,3.526,3512.354,4400.35,,656
1723.36,8268.35,3.954,3.526,3506.319,4400.32,,655
1719.68,8225.7,3.953,3.526,3500.356,4400.36,,654
1717.18,8230.5,3.954,3.526,3488.321,4364.32,,653
1713.63,8211.36,3.954,3.526,3478.752,4364.35,,652
1710.5,8225.12,3.953,3.527,3464.32,4364.32,,651
1707.13,8192.87,3.953,3.528,3457.121,4328.32,,650
1705.92,8207.45,3.953,3.528,3442.751,4328.35,,649
1703.94,8193.48,3.953,3.529,3440.352,4328.35,,648
